Description,Price,Rating,Reviews Count,URL,Image URL
"Apple iPhone XS Max, 256GB, Silver - For AT&T (Renewed)",$559.99,3.7 out of 5 stars,7,https://www.amazon.com/Apple-iPhone-Xs-Max-256GB/dp/B07RLQHT8D/ref=sr_1_16?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-16,https://m.media-amazon.com/images/I/61eLl+EnYWL._AC_UY218_.jpg
Apple iPhone 7 128GB Unlocked GSM 4G LTE Quad-Core Smartphone w/ 12MP Camera - Jet Black (Renewed),$239.72,4.0 out of 5 stars,812,https://www.amazon.com/Apple-iPhone-Unlocked-Quad-Core-Smartphone/dp/B01N4R1RXG/ref=sr_1_17?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-17,https://m.media-amazon.com/images/I/71A45XDJ09L._AC_UY218_.jpg
"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Mint Green",$699.99,4.6 out of 5 stars,"1,320",https://www.amazon.com/Samsung-Factory-Unlocked-Smartphone-Pro-Grade/dp/B08FYVMRM5/ref=sr_1_18?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-18,https://m.media-amazon.com/images/I/71ZcQSRCqBL._AC_UY218_.jpg
Ferilinso [4 Pack] 2 Pack Screen Protector for iPhone 12 Pro Max with 2 Pack Camera Lens Protector [Tempered-Glass] [Military Protective] [HD Clear] [Case Friendly] [Anti-Fingerprint] [Anti-Scratch],$16.99,4.4 out of 5 stars,497,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A074186022UCXADR8WYE1&url=%2FFerilinso-Tempered-Glass-Anti-Fingerprint-Anti-Scratch-Installation%2Fdp%2FB088DJJSXT%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112339%26sr%3D8-19-spons%26psc%3D1&qualifier=1609112339&id=8263533695289253&widgetName=sp_btf,https://m.media-amazon.com/images/I/71xFFAIYUYL._AC_UY218_.jpg
TOZO Compatible for iPhone 12 and Compatible for iPhone 12 Pro Screen Protector 3 Pack Premium Tempered Glass 0.26mm 9H Hardness 2.5D Film Easy install 6.1 inch,$6.98,4.7 out of 5 stars,"2,098",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07778463T3TO0ICD75IX&url=%2FTOZO-Compatible-Protector-Tempered-Hardness%2Fdp%2FB08PVNNLSB%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112339%26sr%3D8-20-spons%26psc%3D1%26smid%3DA3S1Z73YSTMCVX&qualifier=1609112339&id=8263533695289253&widgetName=sp_btf,https://m.media-amazon.com/images/I/71XFkkNUL0L._AC_UY218_.jpg
"Compatible with iPhone 12 Screen Protector, Tempered Glass Screen Protector for iphone 12 Pro 6.1 inch [3-Pack]",$10.98,4.5 out of 5 stars,"1,993",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09841912SKH1GS8SD1PJ&url=%2FCompatible-iPhone-Screen-Protector-Tempered%2Fdp%2FB08R5T49Y9%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112339%26sr%3D8-21-spons%26psc%3D1&qualifier=1609112339&id=8263533695289253&widgetName=sp_btf,https://m.media-amazon.com/images/I/71hOaTdUi4L._AC_UY218_.jpg
TOZO Compatible for iPhone 12 Pro Max Screen Protector 3 Pack Premium Tempered Glass 0.26mm 9H Hardness 2.5D Film Easy install 6.7 inch,$6.98,4.7 out of 5 stars,"1,883",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09510733PWMV40WF1F06&url=%2FTOZO-Compatible-Protector-Tempered-Hardness%2Fdp%2FB08Q3NR32S%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112339%26sr%3D8-22-spons%26psc%3D1%26smid%3DAYH8Z5HA6A4AQ&qualifier=1609112339&id=8263533695289253&widgetName=sp_btf,https://m.media-amazon.com/images/I/715O2ScN+mL._AC_UY218_.jpg
"Apple iPhone Xs Max, 64GB, Gold - For Sprint (Renewed)",$548.97,4.5 out of 5 stars,12,https://www.amazon.com/Apple-iPhone-Max-64GB-Gold/dp/B07RGMFFWM/ref=sr_1_18?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-18,https://m.media-amazon.com/images/I/81yMd8xSFAL._AC_UY218_.jpg
"Apple iPhone XS Max, 64GB, Silver - For T-Mobile (Renewed)",$519.99,4.0 out of 5 stars,10,https://www.amazon.com/Apple-iPhone-Max-T-Mobile-64GB/dp/B07RV3JLC1/ref=sr_1_19?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-19,https://m.media-amazon.com/images/I/61eLl+EnYWL._AC_UY218_.jpg
"OnePlus 8 Pro Onyx Black,​ 5G Unlocked Android Smartphone U.S Version, 12GB RAM+256GB Storage, 120Hz Fluid Display,Quad Camera, Wireless Charge, with Alexa Built-in",$799.00,4.4 out of 5 stars,"1,117",https://www.amazon.com/OnePlus-Unlocked-Android-Smartphone-Wireless/dp/B08723FJMF/ref=sr_1_20?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-20,https://m.media-amazon.com/images/I/51az5uPx4AL._AC_UY218_.jpg
